datetime,date,food_name,calories,protein
2025-03-08 09:30:42,2025-03-08,breakfast,700,30
2025-03-08 13:30:42,2025-03-08,lunch,1000,45
2025-03-08 20:30:42,2025-03-08,dinner,350,15
2025-03-08 23:30:42,2025-03-08,dinner,1300,60
2025-03-09 11:30:42,2025-03-09,breakfast,860,28
2025-03-09 20:00:42,2025-03-09,dinner,1500,60
2025-03-10 08:30:42,2025-03-10,breakfast,450,30
2025-03-10 14:30:42,2025-03-10,lunch,730,32
2025-03-10 20:30:42,2025-03-10,dinner,650,32
2025-03-10 23:30:42,2025-03-10,dinner,215,40
2025-03-11 09:30:42,2025-03-11,breakfast,600,36
2025-03-11 16:30:04,2025-03-11,lunch,650,39
2025-03-11 23:30:04,2025-03-11,dinner,1400,50
2025-03-12 09:30:42,2025-03-12,breakfast,500,25
2025-03-12 15:30:42,2025-03-12,lunch,700,35
2025-03-12 18:30:42,2025-03-12,dinner,600,35
2025-03-13 09:30:42,2025-03-13,breakfast,620,33
2025-03-13 14:30:42,2025-03-13,lunch,750,25
2025-03-13 20:30:42,2025-03-13,dinner,500,12
2025-03-13 23:30:42,2025-03-13,dinner,750,40
2025-03-14 08:30:42,2025-03-14,breakfast,150,30
2025-03-14 10:30:42,2025-03-14,breakfast,500,30
2025-03-14 15:30:42,2025-03-14,lunch,1160,55
2025-03-14 22:30:42,2025-03-14,dinner,1220,60
2025-03-15 08:30:42,2025-03-15,breakfast,420,18
2025-03-15 12:30:42,2025-03-15,lunch,820,38
2025-03-15 18:30:42,2025-03-15,dinner,800,40
2025-03-15 22:30:42,2025-03-15,dinner,1300,30
2025-03-16 11:30:42,2025-03-16,breakfast,850,20
2025-03-16 17:30:42,2025-03-16,lunch,850,70
